            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         1.88705          618042          344643        -61544.4         778.886         449.649         73.9055     3.50902e+06     3.44578e+06         47779.8      0.00977686         6.02093
         1.90083          617181          344142        -61615.7         777.651         448.994         73.5008     3.49848e+06     3.44025e+06         55457.9       0.0106598         6.00948
          1.9146          616346          343678        -61682.2         776.466         448.376         73.0901     3.48899e+06     3.43332e+06         62554.4      0.00924629         6.00572
         1.92837          615522          343238          -61744         775.326         447.798         72.6783     3.48061e+06     3.42523e+06         69221.9       0.0155946         5.99698
         1.94215          614726          342823        -61800.6         774.225         447.256         72.2657     3.47335e+06     3.41653e+06         75904.6        0.012274         5.95612
         1.95592          613980          342438        -61856.4         773.162         446.747         71.8557     3.46708e+06      3.4077e+06         82970.3        0.018671         5.88272
          1.9697          613285          342089        -61914.3         772.141         446.264         71.4473       3.462e+06     3.39889e+06         90601.7       0.0144568         5.88602
         1.98347          612650          341773        -61974.7         771.169         445.801         71.0369     3.45814e+06     3.39004e+06         98789.5       0.0118325         5.89901
         1.99725          612070          341492        -62038.6         770.254         445.351         70.6204     3.45557e+06     3.38114e+06          107384       0.0131625         5.89518
         2.01102          611537          341245        -62097.9         769.404         444.902         70.1927     3.45416e+06     3.37201e+06          115781       0.0133615         5.89893
         2.02479          611047          341037        -62154.8          768.62         444.447         69.7549     3.45404e+06     3.36225e+06          123854       0.0131502         5.90047
         2.03857          610602          340873        -62203.5         767.903          443.99         69.3085     3.45519e+06     3.35177e+06          130945       0.0147716          5.9146
         2.05234          610202          340750        -62239.3         767.246          443.54         68.8583     3.45765e+06     3.34014e+06          136576         0.01304         5.91335
         2.06612          609838          340657        -62260.2         766.649         443.104         68.4101     3.46169e+06     3.32769e+06          141434       0.0054932         5.86855
         2.07989          609506          340588        -62278.3         766.105         442.684         67.9698      3.4665e+06      3.3146e+06          146930      0.00841172         5.85646
         2.09366          609206          340539        -62305.2         765.606         442.278         67.5371     3.47222e+06      3.3009e+06          153811      0.00675796         5.84203
         2.10744          608928          340509        -62335.8         765.153         441.877         67.1143     3.47915e+06      3.2865e+06          162100       0.0155439          5.8237
         2.12121          608675          340499        -62363.5         764.747         441.475         66.7017     3.48727e+06     3.27112e+06          171173       0.0152891         5.93237
         2.13499          608450          340511        -62396.4         764.391         441.063         66.2992     3.49658e+06      3.2545e+06          180690       0.0108184         5.94317
         2.14876          608244          340525        -62420.2         764.084         440.634         65.9035     3.50676e+06     3.23694e+06          190472       0.0172839         5.96666
         2.16253          608063          340556        -62438.5         763.827         440.179          65.515     3.51756e+06     3.21861e+06          200128       0.0142069         5.96496
         2.17631          607887          340605        -62450.5         763.617         439.694         65.1346     3.52912e+06         3.2e+06          209433      0.00741989         5.95684
         2.19008          607720          340654          -62447         763.451         439.176         64.7649     3.54095e+06     3.18085e+06          218023      0.00851358         5.94414
         2.20386          607572          340693        -62425.5         763.327          438.62           64.41     3.55285e+06     3.16097e+06          226079      0.00304014         5.92963
         2.21763          607432          340739          -62398         763.237         438.021          64.072     3.56518e+06     3.14065e+06          233832       0.0131671         5.92763
          2.2314          607275          340779        -62352.1         763.176         437.379           63.75     3.57754e+06     3.12054e+06          241367       0.0201741         5.96376
         2.24518          607116          340796        -62299.5         763.142         436.687         63.4434     3.58953e+06     3.09967e+06          248760       0.0170436         5.99775
         2.25895          606918          340791        -62233.4         763.125         435.942         63.1533     3.60096e+06     3.07878e+06          255356       0.0105499         6.02542
         2.27273          606680          340750        -62151.5         763.118         435.137         62.8798     3.61152e+06     3.05783e+06          261028       0.0221142         6.05134
          2.2865          606403          340665        -62056.7         763.112         434.268         62.6237     3.62069e+06     3.03722e+06          265965       0.0229489         6.07554
         2.30028          606088          340537        -61949.7         763.098         433.335         62.3897     3.62804e+06     3.01776e+06          270202       0.0130193         6.03648
         2.31405          605738          340366        -61832.9         763.072         432.335          62.185     3.63367e+06     2.99978e+06          273898      0.00986745         6.06373
         2.32782          605334          340137        -61706.2         763.026         431.269         62.0098     3.63692e+06     2.98409e+06          277205       0.0120599         6.08837
          2.3416          604883          339855        -61570.7         762.953         430.139         61.8623     3.63794e+06     2.97075e+06          280557       0.0168522         6.10777
         2.35537          604359          339505        -61424.2         762.839         428.952         61.7384     3.63636e+06     2.96016e+06          283684      0.00940796         6.12903
         2.36915          603769          339091        -61264.1         762.671         427.722         61.6368      3.6323e+06     2.95165e+06          286639       0.0138627         6.15609
         2.38292          603107          338627        -61100.2         762.431         426.467          61.551     3.62577e+06     2.94589e+06          289140      0.00940032         6.17963
         2.39669          602395          338126        -60933.3         762.104         425.212         61.4781     3.61691e+06     2.94286e+06          291556        0.012567         6.19862
         2.41047          601630          337593        -60765.5         761.672         423.994         61.4138     3.60615e+06     2.94253e+06          294098       0.0123062         6.21285
         2.42424          600835          337058        -60595.8         761.115         422.845         61.3537      3.5943e+06     2.94463e+06          297167       0.0163932         6.22687
         2.43802          600050          336554          -60437         760.425          421.81         61.2993       3.583e+06     2.94776e+06          300820       0.0092053         6.23974
         2.45179          599295          336101          -60294         759.601         420.936         61.2498     3.57304e+06     2.95138e+06          305068      0.00951116         6.25042
         2.46556          598609          335740          -60173         758.653          420.27         61.2061     3.56621e+06      2.9535e+06          309890       0.0171027         6.25161
         2.47934          598015          335490        -60074.6         757.592         419.852         61.1724      3.5633e+06     2.95328e+06          314983       0.0155622         6.22578
         2.49311          597513          335355        -59992.3         756.443         419.715         61.1562     3.56425e+06     2.95065e+06          320121       0.0143662         6.21495
         2.50689          597129          335352          -59926         755.234         419.881         61.1661     3.56945e+06     2.94467e+06          324883       0.0115625         6.19505
         2.52066          596866          335481        -59871.1         753.998         420.355         61.2096     3.57913e+06     2.93497e+06          328719       0.0149119         6.17181
         2.53444          596707          335723        -59822.9         752.769         421.131         61.2989     3.59268e+06     2.92173e+06          331191       0.0147061         6.14843
         2.54821          596655          336068        -59777.1         751.578         422.185         61.4408     3.60986e+06      2.9047e+06          331960        0.015267         6.15608
         2.56198          596720          336524        -59738.9         750.456         423.479         61.6418     3.63068e+06     2.88331e+06          330720        0.016338         6.18972
         2.57576          596866          337051        -59695.5         749.433         424.962         61.9077     3.65381e+06     2.85897e+06          327550       0.0171957         6.22368
         2.58953          597079          337631          -59650         748.534         426.579         62.2339     3.67843e+06      2.8325e+06          322395       0.0138213         6.20456
